"","LUNCHNUMBER","QLang1","QMA13","QMA33","QMA41_2","QMMRT28","QMMRT29","QICC25","QICC24","QCOG3","QCOG20"
"429",661005,749,1,1,0,1,1,1,1,0,0
"430",661136,750,0,0,1,1,0,0,0,0,0
"431",661215,752,1,1,0,0,0,1,0,0,0
"432",661405,749,0,0,0,0,0,0,0,0,0
"433",661407,749,1,1,0,0,0,1,1,0,0
"434",661552,749,1,1,1,0,1,1,1,1,0
"435",661567,749,0,1,1,1,0,1,0,0,0
"436",661763,749,0,0,0,0,0,0,1,0,0
"437",661856,749,0,1,1,1,1,1,1,0,0
"438",661932,749,1,1,0,0,1,0,1,0,0
"439",661958,0,0,1,1,0,0,0,0,0,0
"440",662036,749,1,1,1,0,1,0,0,0,0
"441",662057,749,0,0,1,0,0,0,1,0,0
"442",662095,749,1,0,0,1,0,0,0,1,0
"443",662117,749,1,1,1,0,0,0,1,0,0
"444",662281,749,0,1,0,1,0,0,0,0,0
"445",662508,749,1,1,0,0,1,0,1,0,0
"446",662639,749,1,0,0,0,0,0,1,0,0
"447",662646,749,0,0,1,0,1,0,1,0,0
"448",662706,749,0,0,0,0,0,0,0,0,0
"449",662790,750,1,1,0,0,0,1,0,1,0
"450",663052,749,1,0,0,0,0,1,0,0,0
"451",663054,0,1,0,0,0,0,0,0,0,0
"452",663092,750,1,1,1,1,1,1,0,0,0
"453",663145,750,0,0,0,0,0,0,1,0,0
"454",663158,749,1,1,1,0,1,1,1,0,0
"455",663183,0,1,1,0,0,0,0,1,0,0
"456",663495,749,1,1,1,1,1,1,1,0,0
"457",663731,750,1,1,0,0,0,1,1,0,0
"458",663915,750,1,0,1,1,1,1,0,0,0
"459",663916,749,1,1,0,1,0,1,1,0,0
"460",663946,750,1,0,1,0,0,0,1,1,0
"461",663976,749,1,1,1,0,0,0,1,0,0
"462",664112,749,1,1,1,0,0,1,1,0,0
"463",664216,749,0,1,0,1,0,0,1,0,0
"464",664529,749,1,1,0,1,1,0,1,1,1
